t,x,y,z
0.000000000000000000e+00,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.391587709654790617e+00,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.783175419309581233e+00,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.174763128964371184e+00,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.566350838619162467e+00,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
6.957938548273952861e+00,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.349526257928742368e+00,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
9.741113967583533650e+00,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.113270167723832493e+01,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.252428938689311444e+01,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.391587709654790572e+01,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.530746480620269523e+01,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.669905251585748474e+01,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.809064022551227779e+01,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.948222793516706730e+01,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.087381564482185681e+01,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.226540335447664987e+01,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.365699106413143937e+01,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.504857877378622888e+01,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.644016648344101839e+01,-5.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
